"filename", "language", "XML", "Java", "Java Properties", "Markdown", "YAML", "comment", "blank", "total"
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/NoDropSettings.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TargetResolver.class", "Java", 0, 29, 0, 0, 0, 0, 0, 29
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TimeFormatter.class", "Java", 0, 74, 0, 0, 0, 0, 0, 74
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TriggerConditions.class", "Java", 0, 32, 0, 0, 0, 0, 0, 32
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TriggerContext.class", "Java", 0, 10, 0, 0, 0, 0, 0, 10
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TriggerParser$1.class", "Java", 0, 16, 0, 0, 0, 0, 0, 16
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/TriggerParser.class", "Java", 0, 79, 0, 0, 0, 0, 0, 79
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/Effect.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/EffectParser.class", "Java", 0, 98, 0, 0, 0, 0, 0, 98
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/types/ClearAction.class", "Java", 0, 22, 0, 0, 0, 0, 0, 22
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/types/CooldownAction.class", "Java", 0, 49, 0, 0, 0, 0, 0, 49
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/types/NoTargetAction.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/types/VanillaAction$VanillaEventConfig.class", "Java", 0, 8, 0, 0, 0, 0, 0, 8
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/actions/types/VanillaAction.class", "Java", 0, 30, 0, 0, 0, 0, 0, 30
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/AbstractEffect.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/ActionBarEffect.class", "Java", 0, 17, 0, 0, 0, 0, 0, 17
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/BlocksEffect$1.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/BlocksEffect.class", "Java", 0, 95, 0, 0, 0, 0, 0, 95
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/ConsoleEffect.class", "Java", 0, 42, 0, 0, 0, 0, 0, 42
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/DamageEffect.class", "Java", 0, 15, 0, 0, 0, 0, 0, 15
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/DisableItemsEffect.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/FreezeEffect.class", "Java", 0, 16, 0, 0, 0, 0, 0, 16
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/KnockbackEffect.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/LightningEffect.class", "Java", 0, 26, 0, 0, 0, 0, 0, 26
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/MessageEffect.class", "Java", 0, 16, 0, 0, 0, 0, 0, 16
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/ParticleEffect.class", "Java", 0, 132, 0, 0, 0, 0, 0, 132
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/PotionEffect$PotionMode.class", "Java", 0, 18, 0, 0, 0, 0, 0, 18
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/PotionEffect.class", "Java", 0, 54, 0, 0, 0, 0, 0, 54
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/effects/TitleEffect.class", "Java", 0, 35, 0, 0, 0, 0, 0, 35
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/ArmorEquipTrigger.class", "Java", 0, 35, 0, 0, 0, 0, 0, 35
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/BlockTrigger.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/ClickTrigger$1.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/ClickTrigger.class", "Java", 0, 30, 0, 0, 0, 0, 0, 30
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/HitTrigger.class", "Java", 0, 21, 0, 0, 0, 0, 0, 21
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/ItemActionsTrigger.class", "Java", 0, 27, 0, 0, 0, 0, 0, 27
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/ItemMiscTrigger.class", "Java", 0, 29, 0, 0, 0, 0, 0, 29
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/KillEntityTrigger.class", "Java", 0, 21, 0, 0, 0, 0, 0, 21
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/KillPlayerTrigger.class", "Java", 0, 26, 0, 0, 0, 0, 0, 26
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/PlayerMiscTrigger.class", "Java", 0, 67, 0, 0, 0, 0, 0, 67
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/triggers/PlayerMovementJumpTrigger.class", "Java", 0, 21, 0, 0, 0, 0, 0, 21
